Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,139.660004,139.860001,136.350006,137.820007,132.970612,8330900
2021-01-05,137.990005,138.919998,136.270004,138.699997,133.819626,6856400
2021-01-06,138.770004,141.039993,138.600006,140.160004,135.228256,10578000
2021-01-07,139.750000,140.130005,138.039993,138.850006,133.964355,7355400
2021-01-08,138.470001,139.059998,137.000000,138.789993,133.906448,7448500
2021-01-11,138.750000,139.440002,137.600006,137.850006,132.999542,7239900
2021-01-12,137.850006,138.250000,136.240005,137.050003,132.227692,6333500
2021-01-13,137.100006,138.070007,137.100006,137.259995,132.430283,6078800
2021-01-14,137.429993,137.649994,135.279999,135.800003,131.021698,6172800
2021-01-15,135.250000,136.199997,134.660004,134.779999,130.037582,7757600
2021-01-19,135.699997,136.360001,133.559998,133.600006,128.899078,9184900
2021-01-20,132.529999,133.800003,131.259995,131.929993,127.287834,12506600
2021-01-21,130.649994,131.990005,130.509995,131.009995,127.162621,8761600
2021-01-22,131.020004,131.470001,129.990005,130.000000,126.182297,7202800
2021-01-25,129.949997,133.000000,129.899994,132.240005,128.356522,9640000
2021-01-26,132.250000,133.470001,131.429993,133.089996,129.181549,5996700
2021-01-27,132.389999,133.100006,127.699997,128.380005,124.609886,10826700
2021-01-28,127.839996,131.649994,127.440002,130.360001,126.531731,8242000
2021-01-29,130.190002,130.289993,128.070007,128.210007,124.444870,8344100
2021-02-01,129.000000,129.660004,128.199997,128.970001,125.182541,6534200
2021-02-02,129.600006,130.720001,128.690002,128.789993,125.007820,6825600
2021-02-03,128.949997,129.199997,127.750000,128.949997,125.163132,7309400
2021-02-04,129.380005,129.460007,128.580002,129.029999,125.240776,6613700
2021-02-05,129.119995,130.100006,129.029999,129.570007,125.764923,5063700
2021-02-08,129.929993,130.100006,128.110001,129.169998,125.376663,7011200
2021-02-09,129.460007,129.940002,128.229996,128.669998,124.891357,5917800
2021-02-10,128.750000,129.160004,127.959999,128.220001,124.454567,8594100
2021-02-11,128.539993,129.330002,128.210007,128.330002,124.561348,6139200
2021-02-12,128.000000,128.130005,126.580002,127.620003,123.872192,8407300
2021-02-16,127.970001,128.169998,126.989998,127.919998,124.163383,8246000
2021-02-17,127.190002,129.490005,127.110001,128.460007,124.687531,8845200
2021-02-18,127.809998,129.850006,127.589996,129.529999,125.726112,6936400
2021-02-19,129.350006,129.440002,127.019997,127.120003,123.386864,8277900
2021-02-22,126.790001,127.239998,126.379997,126.580002,122.862732,6975500
2021-02-23,127.779999,129.929993,127.190002,127.519997,123.775116,10145300
2021-02-24,127.349998,128.240005,126.910004,127.660004,123.911018,7263000
2021-02-25,127.489998,128.990005,126.290001,126.580002,122.862732,7790800
2021-02-26,126.540001,126.930000,121.820000,123.529999,119.902298,17718800
2021-03-01,124.160004,125.489998,124.000000,124.290001,120.639984,7740200
2021-03-02,123.870003,124.860001,123.430000,123.900002,120.261436,10206500
2021-03-03,123.769997,124.199997,122.790001,123.160004,119.543159,7537000
2021-03-04,123.099998,124.769997,121.540001,122.150002,118.562820,10228100
2021-03-05,122.760002,126.330002,122.550003,125.980003,122.280350,10490900
2021-03-08,125.760002,128.899994,125.320000,127.309998,123.571297,9224700
2021-03-09,127.650002,128.919998,126.059998,126.180000,122.474472,8859700
2021-03-10,126.150002,128.419998,125.470001,127.339996,123.600410,9070900
2021-03-11,127.129997,127.849998,126.720001,126.910004,123.183044,6941500
2021-03-12,127.650002,128.820007,127.650002,128.139999,124.376923,6521900
2021-03-15,128.389999,129.039993,127.190002,128.559998,124.784584,7172600
2021-03-16,128.509995,129.979996,128.509995,128.940002,125.153419,6485200
2021-03-17,129.110001,129.839996,128.350006,128.419998,124.648689,6192900
2021-03-18,128.210007,129.039993,127.040001,128.699997,124.920471,6871300
